time,PM 2.5,PM 10
2018-09-27 11:44:00,14.25,16.635
2018-09-27 11:45:00,14.0166666667,17.0066666667
2018-09-27 11:46:00,12.5933333333,16.545
2018-09-27 11:47:00,13.2233333333,16.4683333333
2018-09-27 11:48:00,13.1716666667,18.41
2018-09-27 11:49:00,12.98,16.7316666667
2018-09-27 11:50:00,14.1362068966,18.325862069
2018-09-27 11:51:00,12.6983606557,15.5852459016
2018-09-27 11:52:00,12.81,15.3766666667
2018-09-27 11:53:00,12.8833333333,17.3266666667
2018-09-27 11:54:00,14.2566666667,15.79
2018-09-27 11:55:00,13.5733333333,17.4233333333
2018-09-27 11:56:00,14.0133333333,16.705
2018-09-27 11:57:00,13.2266666667,16.96
2018-09-27 11:58:00,12.9583333333,15.3433333333
2018-09-27 11:59:00,12.5016666667,15.8083333333
2018-09-27 12:00:00,13.7338983051,16.6
2018-09-27 12:01:00,13.13,19.425
2018-09-27 12:02:00,12.8366666667,18.215
2018-09-27 12:03:00,12.3166666667,16.4666666667
2018-09-27 12:04:00,13.4933333333,15.5833333333
2018-09-27 12:05:00,12.5216666667,15.2716666667
2018-09-27 12:06:00,12.3416666667,15.4416666667
2018-09-27 12:07:00,12.87,17.45
2018-09-27 12:08:00,12.045,19.0083333333
2018-09-27 12:09:00,11.9950819672,15.9016393443
2018-09-27 12:10:00,12.2034482759,15.8672413793
2018-09-27 12:11:00,11.8566666667,15.7033333333
2018-09-27 12:12:00,12.2766666667,16.96
2018-09-27 12:13:00,11.8333333333,18.12
2018-09-27 12:14:00,13.0283333333,16.985
2018-09-27 12:15:00,12.4216666667,15.54
2018-09-27 12:16:00,13.39,17.3666666667
2018-09-27 12:17:00,14.7766666667,17.5033333333
2018-09-27 12:18:00,12.8683333333,17.0066666667
2018-09-27 12:19:00,11.9245901639,16.1524590164
2018-09-27 12:20:00,13.7931034483,18.1775862069
2018-09-27 12:21:00,12.0183333333,15.9933333333
2018-09-27 12:22:00,11.94,17.7883333333
2018-09-27 12:23:00,12.3,16.55
2018-09-27 12:24:00,13.54,17.71
2018-09-27 12:25:00,13.0966666667,16.7233333333
2018-09-27 12:26:00,12.455,16.575
2018-09-27 12:27:00,12.0116666667,16.0216666667
2018-09-27 12:28:00,12.3245901639,16.0573770492
2018-09-27 12:29:00,12.5133333333,16.8466666667
2018-09-27 12:30:00,14.2896551724,15.725862069
2018-09-27 12:31:00,13.795,16.7016666667
2018-09-27 12:32:00,13.7,19.07
2018-09-27 12:33:00,15.2683333333,18.2666666667
2018-09-27 12:34:00,14.3283333333,18.6516666667
2018-09-27 12:35:00,13.5233333333,15.82
2018-09-27 12:36:00,13.265,15.2183333333
2018-09-27 12:37:00,13.8,16.3229508197
2018-09-27 12:38:00,13.0133333333,18.7433333333
2018-09-27 12:39:00,12.95,16.83
2018-09-27 12:40:00,12.5310344828,17.5137931034
2018-09-27 12:41:00,14.2266666667,17.6766666667
2018-09-27 12:42:00,12.76,15.7133333333
2018-09-27 12:43:00,12.8166666667,15.9466666667
2018-09-27 12:44:00,11.8666666667,19.8366666667
2018-09-27 12:45:00,11.7266666667,17.6966666667
2018-09-27 12:46:00,13.1950819672,16.031147541
2018-09-27 12:47:00,12.795,17.6
2018-09-27 12:48:00,13.0616666667,18.4216666667
2018-09-27 12:49:00,13.3483333333,16.05
2018-09-27 12:50:00,13.4473684211,18.2263157895
2018-09-27 12:51:00,13.115,17.0783333333
2018-09-27 12:52:00,13.0816666667,18.4716666667
2018-09-27 12:53:00,14.15,18.225
2018-09-27 12:54:00,12.52,15.6633333333
2018-09-27 12:55:00,13.8933333333,16.745
2018-09-27 12:56:00,14.2147540984,17.5426229508
2018-09-27 12:57:00,11.8616666667,15.1316666667
2018-09-27 12:58:00,13.27,18.2016666667
2018-09-27 12:59:00,14.805,19.935
2018-09-27 13:00:00,14.175862069,17.2034482759
2018-09-27 13:01:00,14.48,20.675
2018-09-27 13:02:00,13.4466666667,23.8266666667
2018-09-27 13:03:00,14.03,18.1066666667
2018-09-27 13:04:00,15.6216666667,17.125
2018-09-27 13:05:00,15.2704918033,21.4786885246
2018-09-27 13:06:00,14.1483333333,18.2633333333
2018-09-27 13:07:00,13.1316666667,16.2516666667
2018-09-27 13:08:00,14.0933333333,16.7883333333
2018-09-27 13:09:00,12.8966666667,15.6883333333
2018-09-27 13:10:00,14.1368421053,15.2666666667
2018-09-27 13:11:00,13.7133333333,16.6166666667
2018-09-27 13:12:00,12.98,16.2383333333
2018-09-27 13:13:00,13.406557377,17.6885245902
2018-09-27 13:14:00,14.175,17.5966666667
2018-09-27 13:15:00,12.8616666667,18.4583333333
2018-09-27 13:16:00,12.115,16.42
2018-09-27 13:17:00,13.3616666667,15.7316666667
2018-09-27 13:18:00,13.785,16.3283333333
